,steps,heart_rate,raw_intensity,feeling_rate,time_of_day
0,0,115.0,16.0,4,Morning
1,181,91.98,37.96,4,Noon
2,65,85.43,36.16,4,Noon
3,35,87.56,33.18,4,Noon
4,397,84.0,49.94,4,Noon
5,304,95.64,93.17,4,Evening
6,231,85.69,46.24,4,Evening
7,4623,87.46,94.03,4,Evening
8,3861,82.0,95.13,4,Evening
9,411,151.75,115.0,4,Early Morning
10,546,90.27,47.4,4,Early Morning
11,13,85.24,31.64,4,Morning
12,454,84.11,56.45,4,Morning
13,60,92.86,40.73,4,Morning
14,162,88.96,53.98,4,Morning
15,264,89.09,43.84,4,Noon
16,336,87.58,48.55,4,Noon
17,699,93.94,70.2,4,Noon
18,900,92.92,77.44,4,Noon
19,28,83.37,34.66,4,Evening
20,97,87.86,34.82,4,Evening
21,1170,85.41,65.4,4,Evening
22,1816,87.33,102.68,4,Evening
23,193,93.29,62.73,4,Early Morning
24,2187,91.43,73.88,4,Morning
25,868,82.33,52.83,4,Morning
26,29,88.55,33.32,4,Morning
27,36,96.0,31.57,4,Morning
28,232,93.51,45.92,4,Noon
29,818,90.55,56.73,4,Noon
30,4175,94.86,90.98,4,Noon
31,289,87.68,50.45,4,Noon
32,153,87.82,41.89,4,Evening
33,2194,84.8,68.96,4,Evening
34,2177,93.44,85.7,4,Evening
35,3060,87.53,79.08,4,Evening
36,94,84.48,44.39,4,Night
37,22,84.57,30.41,4,Night
38,5,87.33,35.0,4,Night
39,2339,104.54,65.86,4,Early Morning
40,76,82.86,35.15,4,Early Morning
41,237,82.2,34.67,4,Morning
42,228,83.84,39.61,4,Morning
43,246,87.69,39.55,4,Morning
44,110,83.78,34.51,4,Morning
45,1852,90.35,56.17,4,Noon
46,620,83.64,48.67,4,Noon
47,87,84.83,40.19,4,Noon
48,1091,89.26,52.09,4,Noon
49,1287,92.52,74.93,4,Evening
50,500,93.22,56.0,4,Evening
51,1482,87.76,69.79,4,Evening
52,1495,88.0,62.51,4,Evening
53,32,84.8,34.52,4,Night
54,8,81.35,31.15,4,Night
55,180,89.58,46.36,4,Morning
56,87,88.16,42.21,4,Morning
57,227,87.33,46.83,4,Morning
58,300,84.52,50.42,4,Noon
59,127,85.67,38.96,4,Noon
60,166,87.07,38.7,4,Noon
61,498,88.8,76.39,4,Noon
62,638,91.68,82.63,4,Evening
63,34,89.06,32.45,4,Evening
