,steps,steps_so_far,heart_rate,min_heart,max_heart,raw_intensity,feeling_rate,time_of_day,gender
0,0,0,115.0,115.0,115.0,16.0,4,3,female
1,181,181,91.98,115.0,80.0,37.96,4,4,female
2,65,246,85.43,96.0,80.0,36.16,4,4,female
3,35,281,87.56,96.0,80.0,33.18,4,4,female
4,397,678,84.0,96.0,80.0,49.94,4,4,female
5,304,982,95.64,96.0,80.0,93.17,4,5,female
6,231,1213,85.69,96.0,80.0,46.24,4,5,female
7,4623,5836,87.46,96.0,49.0,94.03,4,5,female
8,3861,9697,82.0,96.0,80.0,95.13,4,5,female
9,411,411,151.75,178.0,129.0,115.0,4,2,female
10,546,957,90.27,145.0,80.0,47.4,4,2,female
11,13,970,85.24,96.0,80.0,31.64,4,3,female
12,454,1424,84.11,96.0,80.0,56.45,4,3,female
13,60,1484,92.86,96.0,80.0,40.73,4,3,female
14,162,1646,88.96,96.0,80.0,53.98,4,3,female
15,264,1910,89.09,96.0,80.0,43.84,4,4,female
16,336,2246,87.58,96.0,80.0,48.55,4,4,female
17,699,2945,93.94,96.0,80.0,70.2,4,4,female
18,900,3845,92.92,96.0,80.0,77.44,4,4,female
19,28,3873,83.37,96.0,80.0,34.66,4,5,female
20,97,3970,87.86,96.0,80.0,34.82,4,5,female
21,1170,5140,85.41,96.0,50.0,65.4,4,5,female
22,1816,6956,87.48,87.47572631179189,87.47572631179189,102.68,4,5,female
23,193,193,93.29,144.0,80.0,62.73,4,2,female
24,2187,2380,91.43,96.0,80.0,73.88,4,3,female
25,868,3248,82.33,96.0,50.0,52.83,4,3,female
26,29,3277,88.55,96.0,80.0,33.32,4,3,female
27,36,3313,96.0,96.0,96.0,31.57,4,3,female
28,232,3545,93.51,112.0,80.0,45.92,4,4,female
29,818,4363,90.55,96.0,80.0,56.73,4,4,female
30,4175,8538,94.86,96.0,80.0,90.98,4,4,female
31,289,8827,87.68,96.0,80.0,50.45,4,4,female
32,153,8980,87.82,96.0,80.0,41.89,4,5,female
33,2194,11174,84.8,96.0,80.0,68.96,4,5,female
34,2177,13351,93.44,96.0,80.0,85.7,4,5,female
35,3060,16411,87.53,96.0,80.0,79.08,4,5,female
36,94,16505,84.48,96.0,80.0,44.39,4,6,female
37,22,16527,84.57,96.0,80.0,30.41,4,6,female
38,5,5,87.48,87.47572631179189,87.47572631179189,35.0,4,6,female
39,2339,2344,104.54,145.0,96.0,65.86,4,2,female
40,76,2420,82.86,96.0,80.0,35.15,4,2,female
41,237,2657,82.2,96.0,80.0,34.67,4,3,female
42,228,2885,83.84,96.0,80.0,39.61,4,3,female
43,246,3131,87.69,96.0,80.0,39.55,4,3,female
44,110,3241,83.78,96.0,80.0,34.51,4,3,female
45,1852,5093,90.35,96.0,80.0,56.17,4,4,female
46,620,5713,83.64,96.0,80.0,48.67,4,4,female
47,87,5800,84.83,96.0,80.0,40.19,4,4,female
48,1091,6891,89.26,96.0,80.0,52.09,4,4,female
49,1287,8178,92.52,96.0,80.0,74.93,4,5,female
50,500,8678,93.22,96.0,80.0,56.0,4,5,female
51,1482,10160,87.76,96.0,80.0,69.79,4,5,female
52,1495,11655,88.0,96.0,80.0,62.51,4,5,female
53,32,11687,84.8,96.0,80.0,34.52,4,6,female
54,8,11695,81.35,115.0,80.0,31.15,4,6,female
55,180,180,89.58,155.0,80.0,46.36,4,3,female
56,87,267,88.16,96.0,80.0,42.21,4,3,female
57,227,494,87.33,96.0,80.0,46.83,4,3,female
58,300,794,84.52,96.0,80.0,50.42,4,4,female
59,127,921,85.67,96.0,80.0,38.96,4,4,female
60,166,1087,87.07,96.0,80.0,38.7,4,4,female
61,498,1585,88.8,96.0,80.0,76.39,4,4,female
62,638,2223,91.68,96.0,80.0,82.63,4,5,female
63,34,2257,89.06,96.0,80.0,32.45,4,5,female
64,140,2397,88.84,96.0,80.0,48.88,4,5,female
65,3622,6019,91.0,96.0,80.0,92.52,4,5,female
66,4654,10673,91.2,96.0,80.0,97.63,4,6,female
67,185,10858,85.0,99.0,80.0,56.2,4,6,female
